"review_id","order_id","review_score","review_comment_title","review_comment_message","review_creation_date","review_answer_timestamp"
"8670d52e15e00043ae7de4c01cc2fe06","b9bf720beb4ab3728760088589c62129",4,"recomendo","aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho","2018-05-22 00:00:00","2018-05-23 16:45:47"
"4b49719c8a200003f700d3d986ea1a19","9d6f15f95d01e79bd1349cc208361f09",4,NULL,"Mas um pouco ,travando...pelo valor ta Boa.
","2018-02-16 00:00:00","2018-02-20 10:52:22"
"3948b09f7c818e2d86c9a546758b2335","e51478e7e277a83743b6f9991dbfa3fb",5,"Super recomendo","Vendedor confiável, produto ok e entrega antes do prazo.","2018-05-23 00:00:00","2018-05-24 03:00:01"
"9314d6f9799f5bfba510cc7bcd468c01","0dacf04c5ad59fd5a0cc1faa07c34e39",2,NULL,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU","2018-01-18 00:00:00","2018-01-20 21:25:45"
"373cbeecea8286a2b66c97b1b157ec46","583174fbe37d3d5f0d6661be3aad1786",1,"Não chegou meu produto ","Péssimo","2018-08-15 00:00:00","2018-08-15 04:10:37"
"d21bbc789670eab777d27372ab9094cc","4fc44d78867142c627497b60a7e0228a",5,"Ótimo","Loja nota 10","2018-07-10 00:00:00","2018-07-11 14:10:25"
"0e0190b9db53b689b285d3f3916f8441","79832b7cb59ac6f887088ffd686e1d5e",5,NULL,"obrigado pela atençao amim dispensada","2017-12-01 00:00:00","2017-12-09 22:58:58"
"fe3db7c069d694bab50cc43463f91608","2ca73e2ff9e3a186ad1e1ffb9b1d9c10",5,NULL,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.","2018-03-23 00:00:00","2018-04-01 00:27:51"
"e07eee7ad7666276bd8b27fbd83fd1ff","68b3cbc68e4cd1fe19bec35f1d3bb7ee",5,NULL,"relógio muito bonito e barato.","2018-03-29 00:00:00","2018-04-02 14:19:31"
"58044bca115705a48fe0e00a21390c54","68e55ca79d04a79f20d4bfc0146f4b66",1,NULL,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.","2018-04-08 00:00:00","2018-04-09 12:22:39"
"c92cdd7dd544a01aa35137f901669cdf","37e7875cdce5a9e5b3a692971f370151",4,"Muito bom.","Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.","2018-06-07 00:00:00","2018-06-09 18:44:02"
"08c9d79ec0eba1d252e3f52f14b8e6a9","e029f708df3cc108b3264558771605c6",5,"Bom","Recomendo ,","2018-06-13 00:00:00","2018-06-13 22:54:44"
"b193ff3c9f32a01f3a0d9ae26b94d244","e2e6ee1ed2d7f2f36b05d234983bd7a0",5,"Maravilhoso!","Tô completamente apaixonada, loja super responsável e confiável!","2018-08-10 00:00:00","2018-08-11 00:22:13"
"86c5cfa7fcbde303f704b60a78ced7d6","a6456e781cb962cc3f412b04de4fed7b",5,"Entrega perfeita","Muito bom. muito cheiroso.","2018-06-13 00:00:00","2018-06-14 17:29:03"
"890ec1767be8eb104877db6d68eaade5","b3271f5ebce80cbecb67c5b88487a44a",5,NULL,"otimo vendedor chegou ate antes do prazo , adorei o produto","2017-05-13 00:00:00","2017-05-14 02:57:19"
"7d9ac3e98adc0c8ad579e6a2257d79f9","dfa48852c93427261c98fb2e01f33bea",5,NULL,"Processo de compra tranquilo e eficiente.","2018-04-24 00:00:00","2018-04-25 16:01:03"
"9fd59cd04b42f600df9f25e54082a8d1","3c314f50bc654f3c4e317b055681dff9",0,NULL,"Nada de chegar o meu pedido.","2017-04-21 00:00:00","2017-04-23 05:37:03"
"e64fb393e7b32834bb789ff8bb30750e","658677c97b385a9be170737859d3511b",6,NULL,"Recebi bem antes do prazo estipulado.","2017-04-21 00:00:00","2017-04-21 22:02:06"
"2170c9452c2216457b36003fe2969fbb","af32671d0b8ce510a94d9111d97371d3",6,NULL,"muito boa ","2018-03-22 00:00:00","2018-03-30 23:37:25"
"c41bd21983e298a240410ebb391bf075","9562b424b05978a493db2a5122ecab1f",6,NULL,"Tomara q dure pois é de pelinho.","2017-05-19 00:00:00","2017-05-21 03:04:35"
"3d94fd645cdaacc8c9f0dc0a2a1f5166","4d483bf690ca21bdc005df9b623673c7",5,NULL,"boa","2017-03-21 00:00:00","2017-03-22 00:58:49"
"500c05500aa275953129f49799ee5c73","8a9424899aac432d80d8e580932b5ee9",5,"MT lindo","MT lindo","2018-07-25 00:00:00","2018-07-25 21:37:22"
"6a0969d0769d2f3ff6438809a1cc455e","32638fbca8d1a197e649fd5138e12049",5,NULL,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
","2017-06-02 00:00:00","2017-06-03 13:12:07"
"c0dbf9a325d2a2fece43873be47191e1","b324f4270850cbba23533b9a9d3434a9",4,NULL,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.","2018-04-04 00:00:00","2018-04-06 15:43:39"
"6d06808638ec0701bccd70bc8d462c28","97d2f8fe76f2f253b8291e17b5383884",1,NULL,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ","2016-12-09 00:00:00","2016-12-19 14:10:43"
"8b230a1373c6dc4bd867099fda1d7039","071251fe3b3493294536f03737a8a679",3,NULL,"Eu comprei duas unidades e só recebi uma e agora o que faço?","2017-11-09 00:00:00","2017-11-10 10:38:37"
"cb2fc3e5711b5ae85e0491ee18af63ed","34e6d418f368f8079ae152bc178bc66a",3,NULL,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.","2018-01-31 00:00:00","2018-01-31 23:29:21"
"60c714ed14cef913944a3147094a4742","9ac05114800f02bfaa783bd76842dbe2",1,NULL,"Produto muito inferior, mal acabado.","2018-07-03 00:00:00","2018-07-05 19:03:52"
"c45811d9f90e22a81155b3a1e4a5c2e8","491f193fc52075598871cfe6f19976d4",5,"RECOMENDO SEMPRE!!","O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!","2018-06-19 00:00:00","2018-06-19 17:44:05"
"e29ab4a671400c41322e4855de633c6a","17b296b73ebefd6213299342b09f097f",5,NULL,"Maravilha ","2017-08-09 00:00:00","2017-08-11 23:28:46"
"888f11883ff85fa5c07e6ae1192d85c4","248907ae8054cb8e93d5aa44857779b4",5,NULL,"Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ","2018-01-04 00:00:00","2018-01-05 23:30:00"
"436f71c9cc0c1aab7f51dc0cd0820516","c676e726f8a14a9527b41b9dc50ca1bc",5,NULL,"Satisfeito
","2017-11-22 00:00:00","2017-11-22 14:45:40"
"97d4feff1fd7129bee6cde095b9dac2a","b4039fffc67d7a5a75a3ba881d75e402",5,NULL,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ","2017-06-24 00:00:00","2017-06-29 13:48:21"
"ff722b4c68783a4459a3adb9bb4e1d0d","b8702f50a689621ab21ef200b55a5b8d",3,NULL,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.","2018-01-16 00:00:00","2018-01-18 23:25:29"
"65dfeb60c40e3cbb0a1838285d86f885","a2714ecbf6eeb3bb9cd7dba6dc1c5e82",0,NULL,"Pedi reembolso e sem resposta até momento ","2018-03-08 00:00:00","2018-03-08 12:27:34"
"8a64945e89526e68bc16383391590232","71960e6af960919256a958a3633e1040",6,NULL,"Amei achei lindo ,muito delicado adorei","2018-04-18 00:00:00","2018-04-18 22:30:45"
"72730619a00e0ecdecf0a4ff862d8996","af76a45a10524549102e010f2bd9d3cd",1,NULL,"comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois","2017-11-07 00:00:00","2017-11-08 21:54:58"
"c5d83c2523ef15209c8faf5133a7bafb","7eba0b6b5cb480d65416e26e2528d250",4,NULL,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.","2017-12-16 00:00:00","2017-12-19 23:21:17"
"5c37d7ba6ef2f031c34bb4fda3454018","bbd1b9ebbc5a09d51caaa2d10e0f93b5",2,NULL,"Demorou de mais pra entrega ","2017-12-17 00:00:00","2017-12-17 12:14:13"
"83414f98136ce687f7eb69e555b2519c","36e05888e17fa68e55b13477d9b53d3e",5,NULL,"super rapido a entrega .... chegou antes da data... ","2017-10-24 00:00:00","2017-10-25 19:36:57"
"46d8249ea59101c7288936c3e6f155d7","f25ddb6cd62d720a5d91fff80467930a",3,"Entrega atrasou","A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ","2018-01-20 00:00:00","2018-05-15 00:45:28"
"346317f9aff540395fe46893611854f8","546ffb713086001ce9f0009158f88b73",1,NULL,"Não funciona não faz sincronismo","2017-09-17 00:00:00","2017-09-18 23:39:56"
"c422274e50e900b46fee429016c5458d","950bb159eea525ff8947b92c93b02f8e",3,NULL,"Gostei ","2017-09-24 00:00:00","2017-09-25 14:09:58"
"a55012f5c7e74353e92986be15d133b6","54b73f808b0ff25da4276773c30ac269",5,NULL,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.","2017-06-03 00:00:00","2017-06-04 02:22:55"
"ef8ae544c432bb1053ba5990bd0d6227","e18ebd6286697a3f0f6fe267d8286cb2",1,NULL,"EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ","2018-01-12 00:00:00","2018-01-13 00:28:49"
"42ae74a43661be8587b2e2db054179db","0a187dd7f4efe70e8c3b6e3779b3b133",5,NULL,"Ótimo custo-benefício","2017-09-14 00:00:00","2017-09-15 14:15:14"
"79927442ebcbf70b2021e1339bb9a51b","1c8898140458c37fbbf0be37d47193b9",5,"muito boa","Gostei da atenção com a entrega","2018-04-27 00:00:00","2018-04-30 08:04:49"
"14613df954694f243dedeaa2c8a3a5c2","1e91914c9706a5d4665b8c5a6294b107",4," 4 "," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.","2018-05-15 00:00:00","2018-05-16 23:41:51"
"5f938e5f5f2e9a75710b54feeb9ea610","d9ff0185a300435402f043124f530274",1,"Médio","A peça não serviu","2018-05-11 00:00:00","2018-05-14 14:08:04"
